"Dataset","Gene1","Gene2","Correlation","P_value","Method"
"BrainSpan","SCN1A","SCN2A",0.5119,"<2e-16","pearson"
"BrainSpan","SCN1A","SCN3A",-0.3566,"<2e-16","pearson"
"BrainSpan","SCN2A","SCN3A",0.0378,"0.387","pearson"
"GTEx_Brain_All","SCN1A","SCN2A",0.3786,"<2e-16","pearson"
"GTEx_Brain_All","SCN1A","SCN3A",0.1575,"<2e-16","pearson"
"GTEx_Brain_All","SCN2A","SCN3A",-0.0533,"0.00242","pearson"
"GTEx_Frontal_Cortex_BA9","SCN1A","SCN2A",0.7117,"<2e-16","pearson"
"GTEx_Frontal_Cortex_BA9","SCN1A","SCN3A",0.4337,"9.13e-14","pearson"
"GTEx_Frontal_Cortex_BA9","SCN2A","SCN3A",0.4934,"<2e-16","pearson"
"GTEx_Cerebellar_Hemisphere","SCN1A","SCN2A",0.5485,"<2e-16","pearson"
"GTEx_Cerebellar_Hemisphere","SCN1A","SCN3A",0.1341,"0.0257","pearson"
"GTEx_Cerebellar_Hemisphere","SCN2A","SCN3A",0.1172,"0.0514","pearson"
"GTEx_Substantia_nigra","SCN1A","SCN2A",0.3605,"5.35e-07","pearson"
"GTEx_Substantia_nigra","SCN1A","SCN3A",0.0033,"0.965","pearson"
"GTEx_Substantia_nigra","SCN2A","SCN3A",0.2148,"0.00349","pearson"
"GTEx_Anterior_cingulate_cortex_BA24","SCN1A","SCN2A",0.7098,"<2e-16","pearson"
"GTEx_Anterior_cingulate_cortex_BA24","SCN1A","SCN3A",0.2846,"1.02e-05","pearson"
"GTEx_Anterior_cingulate_cortex_BA24","SCN2A","SCN3A",0.229,"0.000425","pearson"
"GTEx_Amygdala","SCN1A","SCN2A",0.4059,"1.44e-08","pearson"
"GTEx_Amygdala","SCN1A","SCN3A",0.0509,"0.496","pearson"
"GTEx_Amygdala","SCN2A","SCN3A",0.438,"6.98e-10","pearson"
"GTEx_Caudate_basal_ganglia","SCN1A","SCN2A",0.3833,"6.18e-12","pearson"
"GTEx_Caudate_basal_ganglia","SCN1A","SCN3A",0.2012,"0.000453","pearson"
"GTEx_Caudate_basal_ganglia","SCN2A","SCN3A",0.4198,"3.1e-14","pearson"
"GTEx_Nucleus_accumbens_basal_ganglia","SCN1A","SCN2A",0.2581,"1.02e-05","pearson"
"GTEx_Nucleus_accumbens_basal_ganglia","SCN1A","SCN3A",0.1039,"0.0799","pearson"
"GTEx_Nucleus_accumbens_basal_ganglia","SCN2A","SCN3A",0.2652,"5.66e-06","pearson"
"GTEx_Putamen_basal_ganglia","SCN1A","SCN2A",0.4164,"4.5e-12","pearson"
"GTEx_Putamen_basal_ganglia","SCN1A","SCN3A",0.3414,"2.38e-08","pearson"
"GTEx_Putamen_basal_ganglia","SCN2A","SCN3A",0.4587,"1.28e-14","pearson"
"GTEx_Cortex","SCN1A","SCN2A",0.7224,"<2e-16","pearson"
"GTEx_Cortex","SCN1A","SCN3A",0.3241,"5.06e-08","pearson"
"GTEx_Cortex","SCN2A","SCN3A",0.4395,"3.51e-14","pearson"
"GTEx_Hypothalamus","SCN1A","SCN2A",0.2009,"0.0012","pearson"
"GTEx_Hypothalamus","SCN1A","SCN3A",0.2092,"0.000738","pearson"
"GTEx_Hypothalamus","SCN2A","SCN3A",-0.012,"0.848","pearson"
"GTEx_Cerebellum","SCN1A","SCN2A",0.6402,"<2e-16","pearson"
"GTEx_Cerebellum","SCN1A","SCN3A",0.0027,"0.965","pearson"
"GTEx_Cerebellum","SCN2A","SCN3A",-0.0831,"0.176","pearson"
"GTEx_Spinal_cord_cervical_c-1","SCN1A","SCN2A",0.3032,"1.04e-05","pearson"
"GTEx_Spinal_cord_cervical_c-1","SCN1A","SCN3A",0.1678,"0.0165","pearson"
"GTEx_Spinal_cord_cervical_c-1","SCN2A","SCN3A",0.095,"0.176","pearson"
"GTEx_Hippocampus","SCN1A","SCN2A",0.3374,"3.3e-08","pearson"
"GTEx_Hippocampus","SCN1A","SCN3A",0.195,"0.00176","pearson"
"GTEx_Hippocampus","SCN2A","SCN3A",0.3294,"7.25e-08","pearson"
